Auctioneer,Phone,E-mail,District,Region,Latitude,Longitude,Title of auction,Beginning_on,Beginning_at,Category,Subcategory,Auction_code,Estimated_price,Reserve_price,Link
Mika Dalimil,376310088,kancelar@euk.cz,Hodonín,Jihomoravský kraj,49.0130527,17.1101192,"podíl \u00bc pozemků v k.ú. Kyjov, okres Hodonín",2021-09-22,09:00,Nemovitosti,Pozemek,EX11230/19-210,75000,50000,https://www.portaldrazeb.cz/drazba/120ex11230-19-210-xjwok
Mika Dalimil,376310088,kancelar@euk.cz,Kladno,Středočeský kraj,50.2857581,14.0891978,"1/56 rodinného domu s pozemky a příslušenstvím v obci Zlonice, okres Kladno",2021-09-22,09:00,Nemovitosti,Rodinný dům,EX22495/19-179,24000,16000,https://www.portaldrazeb.cz/drazba/120ex22495-19-179-yo5py
Zítka Zdeněk,378229711,epodatelnazitka@exekutori-online.cz,Jindřichův Hradec,Jihočeský kraj,49.2693969,14.983308},"Pozemek o velikosti  10968 m2, Horní Radouň",2021-09-22,09:00,Nemovitosti,Pozemek,EX01829/21-036,252000,168000,https://www.portaldrazeb.cz/drazba/108ex01829-21-036-w8xox
Mika Dalimil,376310088,kancelar@euk.cz,Děčín,Ústecký kraj,50.9174434,14.4935082,"podíl 1/6 rodinného domu s pozemky v obci Krásná Lípa, okres Děčín",2021-09-22,09:00,Nemovitosti,Rodinný dům,EX61249/12-247,45000,22500,https://www.portaldrazeb.cz/drazba/120ex61249-12-247-yo5dy
Lavička Josef,354415211,podatelna@execheb.cz,Plzeň-město,Plzeňský kraj,,,Dražba bytu 4+1 v obci Plzeň okres Plzeň město,2021-09-22,09:00,Nemovitosti,Byt,EX02602/18-223,5355000,3570000,https://www.portaldrazeb.cz/drazba/176ex02602-18-223-pdrq8
Mika Dalimil,376310088,kancelar@euk.cz,Sokolov,Karlovarský kraj,50.0838391,12.7747604,"byt 3+1 s příslušenstvím v obci Nová Ves, okres Sokolov",2021-09-22,09:00,Nemovitosti,Byt,EX10466/13-251,750000,375000,https://www.portaldrazeb.cz/drazba/120ex10466-13-251-95l1j
Mika Dalimil,376310088,kancelar@euk.cz,Ústí nad Labem,Ústecký kraj,"50.622537,",,1/2 chaty s pozemky v Ústí nad Labem,2021-09-22,09:00,Nemovitosti,Rekreační objekt,EX11109/16-132,372000,248000,https://www.portaldrazeb.cz/drazba/120ex11109-16-132-mgojm
Havlice Alan,584411112,info@exekutor-jesenik.cz,Přerov,Olomoucký kraj,49.5381308,17.4638122,"Dražba pozemků (12 696 m2) - podíl 1/2, okr. Přerov",2021-09-22,09:00,Nemovitosti,Pozemek,EX90822/13-101,27000,18000,https://www.portaldrazeb.cz/drazba/197ex90822-13-101-45lde
Lavička Josef,354415211,podatelna@execheb.cz,Brno-venkov,Jihomoravský kraj,49.1549222,16.5452583,Dražba podílu 1/2 rekreační chaty obec Ostopovice okres Beno-venkov,2021-09-22,09:00,Nemovitosti,Rekreační objekt,EX01111/16-087,150000,112500,https://www.portaldrazeb.cz/drazba/176ex01111-16-087-a9e05
Zítka Zdeněk,378229711,epodatelnazitka@exekutori-online.cz,Jindřichův Hradec,Jihočeský kraj,49.2693969,14.983308},"Pozemek o velikosti  10968 m2, Horní Radouň",2021-09-22,09:00,Nemovitosti,Pozemek,EX01829/21-036,252000,168000,https://www.portaldrazeb.cz/drazba/108ex01829-21-036-w8xox
Mareš Ondřej,416732472,podatelna@exekutor-ltm.cz,Brno-venkov,Jihomoravský kraj,,,"Pozemky v obci Ivančice, okres Brno-venkov",2021-09-22,09:30,Nemovitosti,Pozemek,124EX284/21,277000,184667,https://www.portaldrazeb.cz/drazba/124ex284-21-aqaql
Havlice Alan,584411112,info@exekutor-jesenik.cz,Děčín,Ústecký kraj,,,"Dražba rekreační chaty s pozemkem, okr. Děčín",2021-09-22,10:30,Nemovitosti,Rekreační objekt,197EX611/20-40,435000,290000,https://www.portaldrazeb.cz/drazba/197ex611-20-40-45ldn
Zítka Zdeněk,378229711,epodatelnazitka@exekutori-online.cz,Tachov,Plzeňský kraj,49.8637981,12.7447928,"Byt 3+1, Planá u Mariánských Lázní, 67,11m2",2021-09-22,10:30,Nemovitosti,Byt,EX05593/20-101,1800000,1200000,https://www.portaldrazeb.cz/drazba/108ex05593-20-101-nqe1m
Jícha Lukáš,588003999,urad@eujicha.cz,Bruntál,Moravskoslezský kraj,49.9313036,17.531996},"Pozemek v obci Razová, okr. Bruntál",2021-09-22,11:00,Nemovitosti,Pozemek,203EX50983/18,85000,56667,https://www.portaldrazeb.cz/drazba/203ex50983-18-1lqjr
Jícha Lukáš,588003999,urad@eujicha.cz,Písek,Jihočeský kraj,49.1934366,14.2471354,"Podíl na domě v obci Protivín, okr. Písek",2021-09-22,11:00,Nemovitosti,Rodinný dům,203EX29778/12,35000,23333,https://www.portaldrazeb.cz/drazba/203ex29778-12-53eyw
Koncz David,355318111,podatelna@eucheb.cz,Ostrava-město,Moravskoslezský kraj,,,Dražba garáže obec Ostrava okres Ostrava -město,2021-09-22,11:00,Nemovitosti,-,EX12098/16-100,1421000,947333,https://www.portaldrazeb.cz/drazba/074ex12098-16-100-qbnko
Pelikán Petr,606050465,podatelna@exekuce-pardubice.cz,Hradec Králové,Královéhradecký kraj,50.2409301,15.4880975,"Rodinný dům, Nový Bydžov",2021-09-22,11:00,Nemovitosti,Rodinný dům,1EX00775/19-38,3500000,2333333,https://www.portaldrazeb.cz/drazba/211ex00775-19-38-53z1n
Peške Jaromír,377235155,jpeske@volny.cz,Příbram,Středočeský kraj,49.6842275,13.984695},"Podíl 1/2 na pozemku č. par. 704/1, ostatní plocha v Příbrami, k.ú. Lazec",2021-09-22,11:00,Nemovitosti,-,64EX319/02-137,300000,200000,https://www.portaldrazeb.cz/drazba/064ex319-02-137-yo7d3
Jícha Lukáš,588003999,urad@eujicha.cz,Most,Ústecký kraj,50.6049207,13.6183935,"Rodinný dům v obci Litvínov, okr. Most",2021-09-22,11:00,Nemovitosti,Rodinný dům,203EX28512/19,3990000,2660000,https://www.portaldrazeb.cz/drazba/203ex28512-19-53ed5
Jícha Lukáš,588003999,urad@eujicha.cz,Hodonín,Jihomoravský kraj,"48.886529,",,"Rodinný dům v obci Kněždub, okr. Hodonín",2021-09-22,11:00,Nemovitosti,Rodinný dům,203EX32792/12,780000,520000,https://www.portaldrazeb.cz/drazba/203ex32792-12-lgo24
Jícha Lukáš,588003999,urad@eujicha.cz,Břeclav,Jihomoravský kraj,,,"Podíl na rodinném domě v obci Lanžhot, okr. Břeclav",2021-09-22,11:00,Nemovitosti,Rodinný dům,203EX5327/15,60000,40000,https://www.portaldrazeb.cz/drazba/203ex5327-15-dlzg5
Jícha Lukáš,588003999,urad@eujicha.cz,Znojmo,Jihomoravský kraj,,,"Rodinný dům v obci Hostěradice, okr. Znojmo",2021-09-22,11:00,Nemovitosti,Rodinný dům,203EX64537/12,4740000,3160000,https://www.portaldrazeb.cz/drazba/203ex64537-12-w8ejr
Koncz David,355318111,podatelna@eucheb.cz,Cheb,Karlovarský kraj,,,Dražba bytového domu obec Aš okres Cheb,2021-09-22,11:00,Nemovitosti,Bytový dům,EX06573/18-104,5500000,3666667,https://www.portaldrazeb.cz/drazba/074ex06573-18-104-ekgkq
Jícha Lukáš,588003999,urad@eujicha.cz,Kutná Hora,Středočeský kraj,,,"Rodinný dům s restaurací v obci Uhlířské Janovice, okr. Kutná Hora",2021-09-22,11:00,Nemovitosti,Rodinný dům,r203DD24/21,6360000,4240000,https://www.portaldrazeb.cz/drazba/203dd24-21-kdolr
Jícha Lukáš,588003999,urad@eujicha.cz,Chomutov,Ústecký kraj,50.3902752,13.184944},"Byt 3+1 v obci Klášterec nad Ohří, okr. Chomutov",2021-09-22,11:00,Nemovitosti,Byt,203EX11912/19,695000,463333,https://www.portaldrazeb.cz/drazba/203ex11912-19-45lrj
Jícha Lukáš,588003999,urad@eujicha.cz,Litoměřice,Ústecký kraj,50.4835323,14.4310315,"Podíl na rodinném domě v obci Štětí, okr. Litoměřice",2021-09-22,11:00,Nemovitosti,Rodinný dům,EX41388/12-103,553050,276525,https://www.portaldrazeb.cz/drazba/203ex41388-12-103-735bo
Jícha Lukáš,588003999,urad@eujicha.cz,Znojmo,Jihomoravský kraj,,,"Rodinný dům v obci Hostěradice, okr. Znojmo",2021-09-22,11:00,Nemovitosti,Rodinný dům,203EX64537/12,4740000,3160000,https://www.portaldrazeb.cz/drazba/203ex64537-12-w8ejr
Kubis Marcel,583550263,urad@exekucesumperk.cz,Frýdek-Místek,Moravskoslezský kraj,,,"Dražba podílu id. 1/6 na RD v obci Ostravice, okres Frýdek-Místek",2021-09-22,11:30,Nemovitosti,Rodinný dům,EX02851/18-100,20000,10000,https://www.portaldrazeb.cz/drazba/139ex02851-18-100-jl5ew
Mika Dalimil,376310088,kancelar@euk.cz,Hodonín,Jihomoravský kraj,48.9989411,17.1297654,"podíl 3/8 pozemků v k.ú. Kyjov, okres Hodonín",2021-09-22,11:30,Nemovitosti,Pozemek,EX11230/19-211,216000,144000,https://www.portaldrazeb.cz/drazba/120ex11230-19-211-735pv
Valenta Jan,775178774,podatelna@exekuce.org,Bruntál,Moravskoslezský kraj,,,"Dům (výroba - pekárna) s pozemky v obci Třemešná, okr. Bruntál",2021-09-22,12:00,Nemovitosti,Průmyslová stavba,6EX1863/10-358,3300000,1650000,https://www.portaldrazeb.cz/drazba/196ex1863-10-358-jl8ez
Koutníková Eva,511444440,eva.koutnikova@soudniexekutorka.cz,Praha,Hlavní město Praha,50.0763558,14.4734914,"rodinný dům v k.ú. Padochov, obec Oslavany",2021-09-23,07:00,Nemovitosti,Rodinný dům,193EX09218/17,1610000,1073333,https://www.portaldrazeb.cz/drazba/193ex09218-17-yo51j
Ivanko Igor,220104211,e-podatelna@exekutorskyurad.eu,Hodonín,Jihomoravský kraj,48.9038182,17.0122341,Opakovaná elektronická dražba id. podílu ve velikosti 1/4 na pozemku v obci Mutěnice (167EX),2021-09-23,07:00,Nemovitosti,Pozemek,EX23449/10-329,75000,37500,https://www.portaldrazeb.cz/drazba/167ex23449-10-329-rbjez
Mlynarčík Jan,483704320,podatelna@exuradjablonec.cz,Mladá Boleslav,Středočeský kraj,50.4022365,14.9197654,Dražba domu v Mladé Boleslavi (okres Mladá Boleslav),2021-09-23,07:00,Nemovitosti,-,154EX340/13,980000,653334,https://www.portaldrazeb.cz/drazba/154ex340-13-xjww9
Porostlý Vlastimil,596617237,podatelna@exekucniurad.cz,Opava,Moravskoslezský kraj,"49.850995,",,"Rodinný dům, Pustá Polom",2021-09-23,07:00,Nemovitosti,Rodinný dům,9EX05019/20-33,3230000,2153334,https://www.portaldrazeb.cz/drazba/069ex05019-20-33-jl5a7
Petrošová Marcela,513033034,podatelna@exekucebreclav.cz,Brno-město,Jihomoravský kraj,"49.209497,",,"\""Kamenná\"" dražba vozidla Škoda Octavia Combi 1.6i 75 KW",2021-09-23,07:30,Movitosti,-,60EX1719/21-86,36000,12000,https://www.portaldrazeb.cz/drazba/160ex1719-21-86-w8x7j
Petrošová Marcela,513033034,podatelna@exekucebreclav.cz,Neuvedeno,-,,,"\""Kamenná\"" dražba vozidla Mercedes Benz E 240 A",2021-09-23,07:35,Movitosti,-,60EX1769/21-40,135000,45000,https://www.portaldrazeb.cz/drazba/160ex1769-21-40-nqe44
Petrošová Marcela,513033034,podatelna@exekucebreclav.cz,Brno-město,Jihomoravský kraj,"49.209497,",,"\""Kamenná\"" dražba vozidla CITROEN JUMPER 2.2 HDI 16V 35 L3 (nepojízdné)",2021-09-23,07:40,Movitosti,-,160EX98/20-37,120000,40000,https://www.portaldrazeb.cz/drazba/160ex98-20-37-xjzkr
Petrošová Marcela,513033034,podatelna@exekucebreclav.cz,Brno-město,Jihomoravský kraj,"49.209497,",,"Plochá Full HD LED televize SAMSUNG, úhlopříčka 60\u201c (152 cm)",2021-09-23,07:50,Movitosti,-,60EX1035/20-41,15000,5000,https://www.portaldrazeb.cz/drazba/160ex1035-20-41-yo7j2
Bednář Richard,272101211,info@exekuce.com,Tábor,Jihočeský kraj,"49.335517,",,"Dražba pozemků v obci Ústrašice, okr. Tábor",2021-09-23,08:00,Nemovitosti,Pozemek,003DD157/21,136000,136000,https://www.portaldrazeb.cz/drazba/003dd157-21-rbzng
Slušná Jana,563034049,podatelna@slusna-exekuce.cz,Benešov,Středočeský kraj,49.8334756,14.5898343,1/2 objektu pro rodinnou rekreaci v Týnci nad Sázavou,2021-09-23,08:00,Nemovitosti,-,22EX158/14-217,267000,178000,https://www.portaldrazeb.cz/drazba/222ex158-14-217-73vxv
Bednář Richard,272101211,info@exekuce.com,Opava,Moravskoslezský kraj,49.7945031,17.7485505,"Dražba pozemků v obci Vítkov, okres Opava",2021-09-23,08:00,Nemovitosti,Pozemek,003DD147/21,555000,555000,https://www.portaldrazeb.cz/drazba/003dd147-21-yo7pk
Bednář Richard,272101211,info@exekuce.com,Karviná,Moravskoslezský kraj,49.8672331,18.3509183,"Dražba pozemku v obci Rychvald, okres Karviná",2021-09-23,08:00,Nemovitosti,Pozemek,003DD148/21,32000,32000,https://www.portaldrazeb.cz/drazba/003dd148-21-a9krj
Mynaříková Marie,513035060,podatelna@exekuceblansko.cz,Neuvedeno,-,,,"osobní automobil VW Caddy 2.0 Tdi, rok 2015",2021-09-23,08:00,Movitosti,Auto-moto,210EX43/20-35,270000,90000,https://www.portaldrazeb.cz/drazba/210ex43-20-35-ekgqa
Leskovjan Jiří,277277920,urad@eupraha4.cz,Jablonec nad Nisou,Liberecký kraj,,,RD Rádlo,2021-09-23,08:00,Nemovitosti,Rodinný dům,189DD24/21-5,3400000,3400000,https://www.portaldrazeb.cz/drazba/189dd24-21-5-rbz7x
Fendrych Jan,222741440,podatelna@exekucni-urad.cz,Most,Ústecký kraj,,,"Dražba bytu v obci Most, okr. Most, 132 EX 63/15-364",2021-09-23,08:00,Nemovitosti,Byt,132EX63/15-364,3000000,2000000,https://www.portaldrazeb.cz/drazba/132ex63-15-364-dlzzp
Sárová Marie,567310211,urad@exekucejihlava.cz,Praha,Hlavní město Praha,,,Dražba ideální 1/30 stavby Kunratice,2021-09-23,08:00,Nemovitosti,Rekreační objekt,79EX316/02-165,120000,80000,https://www.portaldrazeb.cz/drazba/079ex316-02-165-dlznk
Bednář Richard,272101211,info@exekuce.com,Opava,Moravskoslezský kraj,49.7885282,17.7634506,"Dražba pozemku parcelní číslo 1451/1 v obci Vítkov, okres Opava",2021-09-23,08:00,Nemovitosti,Pozemek,003DD156/21,280000,280000,https://www.portaldrazeb.cz/drazba/003dd156-21-jl5zr
Bednář Richard,272101211,info@exekuce.com,Tábor,Jihočeský kraj,"49.335517,",,"Dražba pozemků v obci Ústrašice, okr. Tábor",2021-09-23,08:00,Nemovitosti,Pozemek,003DD157/21,136000,136000,https://www.portaldrazeb.cz/drazba/003dd157-21-rbzng
Bednář Richard,272101211,info@exekuce.com,Karviná,Moravskoslezský kraj,49.8577397,18.4014393,"Dražba pozemků v obci Rychvald, okres Karviná",2021-09-23,08:00,Nemovitosti,Pozemek,003DD151/21,37000,37000,https://www.portaldrazeb.cz/drazba/003dd151-21-95qbx
Bednář Richard,272101211,info@exekuce.com,Karviná,Moravskoslezský kraj,49.8754217,18.3940354,"Dražba pozemků v obci Rychvald, okres Karviná",2021-09-23,08:00,Nemovitosti,Pozemek,003DD152/21,29000,29000,https://www.portaldrazeb.cz/drazba/003dd152-21-a9k7j
Polanský Petr,485104163,urad@exekuceliberec.cz,Louny,Ústecký kraj,50.3399451,13.4778473,"Dražba pozemku (51 m2) s příslušenstvím, okr. Louny",2021-09-23,08:00,Nemovitosti,Pozemek,31EX590/16-320,31000,20667,https://www.portaldrazeb.cz/drazba/131ex590-16-320-2x3on
Leskovjan Jiří,277277920,urad@eupraha4.cz,Jablonec nad Nisou,Liberecký kraj,,,stavba Pulečný,2021-09-23,08:00,Nemovitosti,Rekreační objekt,189DD18/21-5,3060000,3060000,https://www.portaldrazeb.cz/drazba/189dd18-21-5-45xrn
Leskovjan Jiří,277277920,urad@eupraha4.cz,Jablonec nad Nisou,Liberecký kraj,,,rodinný dům Rádlo,2021-09-23,08:00,Nemovitosti,Rodinný dům,189DD19/21-5,4715000,4715000,https://www.portaldrazeb.cz/drazba/189dd19-21-5-nqe94
Leskovjan Jiří,277277920,urad@eupraha4.cz,Jablonec nad Nisou,Liberecký kraj,,,dražba dvou garáží Rychnov u Jablonce,2021-09-23,08:00,Nemovitosti,Garáž,189DD20/21-5,380000,380000,https://www.portaldrazeb.cz/drazba/189dd20-21-5-kde9z
Leskovjan Jiří,277277920,urad@eupraha4.cz,Jablonec nad Nisou,Liberecký kraj,,,pozemky obec Rádlo,2021-09-23,08:00,Nemovitosti,Pozemek,189DD21/21-5,430000,430000,https://www.portaldrazeb.cz/drazba/189dd21-21-5-xjznr
Leskovjan Jiří,277277920,urad@eupraha4.cz,Jablonec nad Nisou,Liberecký kraj,,,zemědělská stavba s pozemky,2021-09-23,08:00,Nemovitosti,Zemědělská stavba,189DD22/21-5,1965000,1965000,https://www.portaldrazeb.cz/drazba/189dd22-21-5-73vba
Leskovjan Jiří,277277920,urad@eupraha4.cz,Jablonec nad Nisou,Liberecký kraj,,,rodinný dům Rádlo,2021-09-23,08:00,Nemovitosti,Rodinný dům,189DD23/21-5,3640000,3640000,https://www.portaldrazeb.cz/drazba/189dd23-21-5-jl5nz
Leskovjan Jiří,277277920,urad@eupraha4.cz,Jablonec nad Nisou,Liberecký kraj,,,RD Rádlo,2021-09-23,08:00,Nemovitosti,Rodinný dům,189DD24/21-5,3400000,3400000,https://www.portaldrazeb.cz/drazba/189dd24-21-5-rbz7x
Smékal Marcel,236034034,urad@exsmekal.cz,Opava,Moravskoslezský kraj,49.7839329,17.703716},"ELEKTRONICKÁ DRAŽBA! Rodinný dům, podíl 104/192, obec Čermná ve Slezsku, okres Opava",2021-09-23,08:00,Nemovitosti,Rodinný dům,EX11762/09-535,380000,253400,https://www.portaldrazeb.cz/drazba/081ex11762-09-535-lgww2
Sárová Marie,567310211,urad@exekucejihlava.cz,Praha,Hlavní město Praha,,,Dražba ideální 1/30 stavby Kunratice,2021-09-23,08:00,Nemovitosti,Rekreační objekt,79EX316/02-165,120000,80000,https://www.portaldrazeb.cz/drazba/079ex316-02-165-dlznk
Bednář Richard,272101211,info@exekuce.com,Frýdek-Místek,Moravskoslezský kraj,49.7870763,18.4005973,"Dražba pozemků v obci Havířov, okres Karviná",2021-09-23,08:00,Nemovitosti,Pozemek,003DD153/21,2100000,2100000,https://www.portaldrazeb.cz/drazba/003dd153-21-mg5am
Bednář Richard,272101211,info@exekuce.com,Opava,Moravskoslezský kraj,49.7932007,17.6338873,"Dražba pozemku parcelní číslo 759/1 v obci Budišov nad Budišovkou, okres Opava",2021-09-23,08:00,Nemovitosti,Pozemek,003DD154/21,207333,207333,https://www.portaldrazeb.cz/drazba/003dd154-21-nqey1
Bednář Richard,272101211,info@exekuce.com,Klatovy,Plzeňský kraj,49.2045847,13.542969},"Dražba pozemku v obci Sušice, okres Klatovy",2021-09-23,08:00,Nemovitosti,Pozemek,003DD155/21,199500,199500,https://www.portaldrazeb.cz/drazba/003dd155-21-kdeyr
Plášilová Kaufmanová,732715862,podatelna@exekutor-plasilova.cz,Most,Ústecký kraj,50.5981916,13.5811357,Opakovaná elektronická dražba pozemků o celkové výměře 11.765 m2 + příslušenství v Litvínově,2021-09-23,08:30,Nemovitosti,Pozemek,8EX1904/16-700,19962881,5988865,https://www.portaldrazeb.cz/drazba/228ex1904-16-700-yo74j
Říhová Andrea,605883955,sekretariat@exekutorkladno.cz,Česká Lípa,Liberecký kraj,50.7737984,14.7470296,"Spoluvlastnický podíl ve výši 1/12 na rodinném domě v obci Jablonné v Podještědí, okres Liberec",2021-09-23,08:30,Nemovitosti,Rodinný dům,23EX1703/18-60,41700,27800,https://www.portaldrazeb.cz/drazba/223ex1703-18-60-rbjyx
Smékal Marcel,236034034,urad@exsmekal.cz,Havlíčkův Brod,Kraj Vysočina,49.7634809,15.4430009,"ELEKTRONICKÁ DRAŽBA! Rodinný dům, obec Chrtníč, okres Havlíčkův Brod",2021-09-23,08:30,Nemovitosti,Rodinný dům,EX06154/08-581,460000,230000,https://www.portaldrazeb.cz/drazba/081ex06154-08-581-dqkev
Plášilová Kaufmanová,732715862,podatelna@exekutor-plasilova.cz,Most,Ústecký kraj,50.5005966,13.627648},Opakovaná elektronická dražba pozemku parc. č. 4496/500 o výměře 144 m2 v Mostě,2021-09-23,09:00,Nemovitosti,Pozemek,8EX1904/16-701,187200,74880,https://www.portaldrazeb.cz/drazba/228ex1904-16-701-qbn4y
Blažková Alena,542220200,podatelna@exekutorblazkova.cz,Zlín,Zlínský kraj,"49.14848,""",,"Dražba spoluvl. podílu pozemků, město Valašské Klobouky",2021-09-23,09:00,Nemovitosti,-,6EX1029/07-368,86000,57334,https://www.portaldrazeb.cz/drazba/006ex1029-07-368-pdoqy
Ivanko Igor,220104211,e-podatelna@exekutorskyurad.eu,Česká Lípa,Liberecký kraj,50.7725561,14.6263547,Elektronická dražba id. podílu 1/2 na pozemku v obci Cvikov (167EX),2021-09-23,09:00,Nemovitosti,Pozemek,EX13786/15-173,369000,246000,https://www.portaldrazeb.cz/drazba/167ex13786-15-173-jl8a7
Tvrdková Jana,244400604,exekutorskyurad@tvrdkova.cz,Praha,Hlavní město Praha,50.0711757,14.4582073,"Byt 4+kk, 93,43 m2 v Praze 10 - Vršovicích",2021-09-23,09:00,Nemovitosti,Byt,95EX229/20-334,7293000,4862000,https://www.portaldrazeb.cz/drazba/095ex229-20-334-lgwjr
Plášilová Kaufmanová,732715862,podatelna@exekutor-plasilova.cz,Most,Ústecký kraj,50.4994611,"13.62636},",Opakovaná elektronická dražba pozemku parc. č. 4496/515 o výměře 144 m2 v Mostě,2021-09-23,09:30,Nemovitosti,Pozemek,8EX1904/16-702,187200,74880,https://www.portaldrazeb.cz/drazba/228ex1904-16-702-ekgaz
Plášilová Kaufmanová,732715862,podatelna@exekutor-plasilova.cz,Český Krumlov,Jihočeský kraj,48.7669958,14.0281049,Elektronická dražba spoluvlastnického podílu ideální 1/2 pozemků (podle platného územního plánu jsou pozemky regulovány jako plocha pro bydlení) o celkové výměře 967 m2 v obci Horní Planá,2021-09-23,10:00,Nemovitosti,Stavební pozemek,8EX2949/12-150,465000,310000,https://www.portaldrazeb.cz/drazba/228ex2949-12-150-73vor
Mlynarčík Jan,483704320,podatelna@exuradjablonec.cz,Liberec,Liberecký kraj,50.6054622,15.0758319,"Likvidace pozůstalosti - dražba podílu o velikosti ideální 1/3 na pozemku v obci Pěnčín, k.ú. Kamení (okres Liberec)",2021-09-23,10:00,Nemovitosti,-,154DD125/01,6900,6900,https://www.portaldrazeb.cz/drazba/154dd125-01-yo5gj
Plášilová Kaufmanová,732715862,podatelna@exekutor-plasilova.cz,Strakonice,Jihočeský kraj,49.3126416,13.9652574,"Elektronická dražba orné půdy (Podle platného územního plánu je pozemek určený jako plocha pro bydlení) o výměře 624 m2 v obci Osek, okres Strakonice",2021-09-23,10:30,Nemovitosti,Pozemek,8EX1493/15-181,715000,476667,https://www.portaldrazeb.cz/drazba/228ex1493-15-181-xjz4g
Ivanko Igor,220104211,e-podatelna@exekutorskyurad.eu,Mladá Boleslav,Středočeský kraj,50.3749396,14.788645},Elektronická dražba id. podílu o velikosti 1/2 na pozemku v obci Sovínky (167EX),2021-09-23,11:00,Nemovitosti,Pozemek,EX16119/11-374,19500,13000,https://www.portaldrazeb.cz/drazba/167ex16119-11-374-xjwxq
Kubis Marcel,583550263,urad@exekucesumperk.cz,Nový Jičín,Moravskoslezský kraj,49.7739804,17.9681702,"Opakovaná dražba podílu id. 1/5 na pozemcích v obci Bílovec, okres Nový Jičín",2021-09-23,11:30,Nemovitosti,Pozemek,9EX4872/13-128,44000,22000,https://www.portaldrazeb.cz/drazba/139ex4872-13-128-yo7jy
Kubis Marcel,583550263,urad@exekucesumperk.cz,Plzeň-město,Plzeňský kraj,49.7477831,13.3783489,Dražba podílu id. 1/48 na pozemcích v chatové části města Plzeň,2021-09-23,11:30,Nemovitosti,Pozemek,EX21091/11-204,270000,180000,https://www.portaldrazeb.cz/drazba/139ex21091-11-204-rbj0x
Kocinec Jaroslav,776047050,podatelna@kocinec.eu,Ostrava-město,Moravskoslezský kraj,50.0763558,14.4734914,"1/3 podíl na pozemcích, LV 598 v obci Ostrava - Krásné Pole",2021-09-24,07:00,Nemovitosti,Pozemek,EX00266/19-Vit,450000,300000,https://www.portaldrazeb.cz/drazba/142ex00266-19-vit-pdpxk
Kocinec Jaroslav,776047050,podatelna@kocinec.eu,Frýdek-Místek,Moravskoslezský kraj,49.6086306,18.5334611,"Lesní pozemky LV 4230 v obci Morávka, okres Frýdek-Místek",2021-09-24,07:30,Nemovitosti,Pozemek,X00635/14-PetL,2456000,1637333,https://www.portaldrazeb.cz/drazba/142ex00635-14-petl-rbzdx
Bednář Richard,272101211,info@exekuce.com,Teplice,Ústecký kraj,"50.622089,",,"Dražba pozemků v Duchcově, okr. Teplice",2021-09-24,08:00,Nemovitosti,Pozemek,003DD158/21,560000,560000,https://www.portaldrazeb.cz/drazba/003dd158-21-dlqp8
Bednář Richard,272101211,info@exekuce.com,Opava,Moravskoslezský kraj,49.7820509,17.6387866,"Dražba pozemků v obci Budišov nad Budišovkou, okres Opava",2021-09-24,08:00,Nemovitosti,Pozemek,003DD163/21,285000,285000,https://www.portaldrazeb.cz/drazba/003dd163-21-kdej4
Bednář Richard,272101211,info@exekuce.com,Teplice,Ústecký kraj,50.6645608,13.8853826,"Dražba pozemků v obci Modlany, okres Teplice",2021-09-24,08:00,Nemovitosti,Pozemek,003DD164/21,229000,229000,https://www.portaldrazeb.cz/drazba/003dd164-21-rbzy0
Bednář Richard,272101211,info@exekuce.com,Teplice,Ústecký kraj,50.6544333,13.9023004,"Dražba pozemků v obci Modlany, okres Teplice",2021-09-24,08:00,Nemovitosti,Pozemek,003DD165/21,485000,485000,https://www.portaldrazeb.cz/drazba/003dd165-21-yo7xy
Bednář Richard,272101211,info@exekuce.com,Teplice,Ústecký kraj,50.6591713,13.9013732,"Dražba pozemků v obci Modlany, okres Teplice",2021-09-24,08:00,Nemovitosti,Pozemek,003DD166/21,272000,272000,https://www.portaldrazeb.cz/drazba/003dd166-21-2x3zo
Bednář Richard,272101211,info@exekuce.com,Teplice,Ústecký kraj,50.6572511,13.8909363,"Dražba pozemků v obci Modlany, okres Teplice",2021-09-24,08:00,Nemovitosti,Pozemek,003DD167/21,97000,97000,https://www.portaldrazeb.cz/drazba/003dd167-21-1lmx9
Bednář Richard,272101211,info@exekuce.com,Plzeň-sever,Plzeňský kraj,49.6733194,13.0735196,"Dražba pozemku v obci Lochousice, okr. Plzeň-sever",2021-09-24,08:00,Nemovitosti,-,003DD160/21-4,58667,58667,https://www.portaldrazeb.cz/drazba/003dd160-21-4-lgw0b
Bednář Richard,272101211,info@exekuce.com,Teplice,Ústecký kraj,50.6544333,13.9023004,"Dražba pozemků v obci Modlany, okres Teplice",2021-09-24,08:00,Nemovitosti,Pozemek,003DD165/21,485000,485000,https://www.portaldrazeb.cz/drazba/003dd165-21-yo7xy
Bednář Richard,272101211,info@exekuce.com,Teplice,Ústecký kraj,50.6591713,13.9013732,"Dražba pozemků v obci Modlany, okres Teplice",2021-09-24,08:00,Nemovitosti,Pozemek,003DD166/21,272000,272000,https://www.portaldrazeb.cz/drazba/003dd166-21-2x3zo
